outcome,prev_outcome,performance,RewP,task,cue
win,loss,0.689083422171195,11.249365653490187,low,low
win,win,0.5595165928220787,6.678129918916665,low,low
loss,loss,0.5715724381361841,8.177548834133209,low,low
loss,win,0.5590681025102118,5.139579936030389,low,low
win,loss,0.6143837931273479,6.970423226820214,low,low
loss,loss,0.9607804853912804,9.15496483567047,low,low
win,win,0.5650779419775156,9.862671815422807,low,low
win,win,0.681124209649456,5.26004545630602,low,low
win,win,0.7968702993430721,7.613343142750426,low,low
loss,win,0.6492732142684631,7.801571852210772,low,low
loss,loss,0.7513253334096266,6.339964942155139,low,low
win,win,0.5797301319346343,7.319873639298711,low,low
win,win,0.898772287289596,7.078590087096575,low,low
loss,win,0.7058368899275076,7.530765192163346,low,low
win,loss,0.7420124778614532,4.217772579428221,low,low
win,win,0.8854341622855169,4.435904569635302,low,low
win,loss,0.7567573200727131,10.676788829564025,low,low
loss,loss,0.8246058298442617,0.5690859923874729,low,low
win,win,0.5209678956132965,6.833614952350684,low,low
loss,loss,0.8953633785652806,4.676172040305669,low,low
loss,win,0.7189796317707269,2.5482799876864632,low,low
loss,win,0.7238522830597399,7.420140952598466,low,low
loss,win,0.7239387952812284,11.982229903520867,low,low
win,win,0.944025485020346,3.691286516906063,low,low
loss,loss,0.6214507289878705,10.261045919957212,low,low
win,loss,0.7710211859751319,7.103160068207108,low,low
loss,win,0.8589064595350666,8.915080060641024,low,low
loss,win,0.7741919626714557,8.815478559781935,low,low
win,win,0.980134930832658,1.9194621903329416,low,low
loss,loss,0.7856442301431507,12.468531086169635,low,low
loss,win,0.801281102775022,8.056775668271614,low,low
win,win,0.8804738430855027,6.009185962739906,low,low
win,win,0.6999013059105925,7.014173790253187,low,low
loss,win,0.8420563023671609,7.398062878787279,low,low
loss,win,0.6238786166557195,8.735129075029167,low,low
loss,win,0.9314552214087456,9.332441956862288,low,low
loss,win,0.97863690070971,8.00552233368396,low,low
loss,win,0.7430210695761992,6.728229043623906,low,low
win,win,0.5430913572447842,9.177869786726117,low,low
win,loss,0.593234242671451,9.418805474973334,low,low
loss,loss,0.8858928821701634,5.882771475810886,low,low
win,win,0.5769462847227544,4.509276507222518,low,low
win,loss,0.8571036198066082,2.0998806687452785,low,low
loss,loss,0.843322253008192,1.559809384262442,low,low
win,loss,0.8867377182887348,8.872280500775313,low,low
win,loss,0.6582753231624532,6.214924121825245,low,low
win,win,0.9038788750147184,6.746263795333548,low,low
loss,win,0.5516574324167205,4.656877843426864,low,low
loss,loss,0.6939947017580153,7.022620134930564,low,low
