outcome,prev_outcome,performance,RewP
win,loss,0.686451366460697,4.519454842280178
win,win,0.9888203231057011,9.66855706697731
loss,loss,0.8070483432099246,5.121011985733751
win,win,0.9577762637867798,4.685171130140875
loss,win,0.7961513726314982,9.181060695421078
loss,win,0.5626302177581348,3.980157616266588
win,win,0.9249395719788276,1.1779655379103051
loss,win,0.6519623283178786,11.237626156182497
win,win,0.86371554814859,10.941346725765595
win,loss,0.6352909240303997,5.508812847877543
loss,win,0.7176089093113822,4.43028354236257
loss,win,0.60888221594536,5.028767616324157
loss,loss,0.6227760359370023,1.9004213826582843
win,win,0.9717578287412594,5.584099057931299
win,loss,0.5682764702922702,6.799320355041129
win,win,0.9192564977907092,3.10065693851518
win,win,0.9910362478513628,2.9687069016986234
win,win,0.5570251372948458,9.170261828310029
win,win,0.6936799385589764,3.9624483982131475
loss,win,0.7185369817967692,-1.8908527222062128
loss,loss,0.9257781553797629,4.1120002767691926
win,win,0.8087198157040125,0.5046543519621203
loss,loss,0.992157289693173,3.5386025297256234
win,win,0.9750606998667627,6.0784740310913286
win,loss,0.91179054691207,5.234954749650706
loss,win,0.8583751667172036,5.331080412676102
win,win,0.7905058924642263,7.017557100734931
win,win,0.6274410090026536,7.0795699823145215
win,loss,0.9845346972047461,4.190769398690456
win,loss,0.5890168488581353,6.112030281542165
win,loss,0.7619918138209456,6.705524433294594
win,win,0.5091689960119365,2.597477971929209
win,win,0.5704980630857506,8.264946099622739
win,win,0.5572002331816981,4.388274281475022
win,win,0.8755195930762786,-3.7382768084133
win,loss,0.6323056426716169,5.14168406116421
win,win,0.9139735816728822,8.137314332994201
loss,win,0.9137767300480955,6.387862982927657
loss,win,0.7256097165562911,5.124455623840388
loss,loss,0.7699792407667977,4.786596302283558
loss,win,0.9666331196975769,3.0434302279210192
win,loss,0.7690241138811746,5.494008521401077
win,win,0.6960428055734198,3.0277118897741886
win,loss,0.9685984662921638,7.2657433085812295
win,win,0.8898184324830647,5.071072476592794
loss,win,0.5768686245152914,6.72874076826269
win,win,0.5319441186833602,10.709342068249947
win,win,0.7023970784659481,11.162365270825598
win,win,0.6031409084743067,3.8301234105175848
win,win,0.6341709505014363,4.69541099689112
win,loss,0.5227025283910116,9.044332326652386
win,loss,0.5171415836975797,2.9252956555592213
win,win,0.9939371198365219,2.45164216878622
win,loss,0.5743363017365253,5.33130911936635
win,loss,0.5881385941806654,8.83131147545802
win,win,0.5802245668716468,8.445679094199784
loss,win,0.8554368656180769,6.8842640374573705
win,win,0.654675734288174,-0.8837224545940119
win,loss,0.6657932949196905,3.9353037106357522
loss,win,0.614293574579911,8.314822290973185
loss,win,0.5765878076637756,3.376137280689293
loss,win,0.7099086312102081,5.84898128379457
win,loss,0.545799181209176,6.1345092831392325
loss,win,0.8353257274314648,7.183772396389138
win,win,0.5333941232089099,6.721362201016309
win,win,0.8336012835142983,6.390835044072788
loss,win,0.9272561530152232,-2.020186738445208
win,win,0.5663564499645983,3.210160969428962
win,win,0.718197432185072,2.531460003795223
win,win,0.7447574237436855,9.500107411620329
win,loss,0.9661025946119707,6.674091650636749
loss,loss,0.5149355537800181,8.822261353379119
win,win,0.8127418729643896,3.7961518002205437
win,win,0.56408515770763,9.139708538409803
win,loss,0.5436692962413865,6.720446428660903
win,win,0.8676854446347226,4.498119443540288
win,win,0.7372360684328711,0.39007321428807984
win,loss,0.6090050747156823,2.5398632262429706
win,win,0.893946681803391,4.792234842361403
win,loss,0.5286384673331059,0.18701954160576317
win,win,0.7599202790058164,2.9694063370267587
win,win,0.7794156808156716,8.29373014256584
loss,win,0.9620387324882642,5.630743743797434
win,loss,0.8466690212112843,0.5863326806412257
loss,win,0.7214934063704875,4.583352755202377
win,loss,0.8091339670757068,5.999010118254251
win,win,0.9245109171142704,3.787825529761009
win,win,0.9227235304232089,8.531308552762813
win,win,0.608427975683641,3.803543931476218
win,win,0.6831359953538831,6.173787881112432
win,win,0.9052264223174651,3.081134776805885
win,win,0.8438279808595653,8.77277589358464
loss,win,0.5652920088782711,5.7981189004539715
loss,win,0.629014953585176,5.816955993601547
win,win,0.5712376324280731,7.4530119522556495
win,win,0.9684161700158045,8.296150330802153
win,win,0.8007989501507116,5.460388305074056
loss,loss,0.9806807711220142,7.022171243894025
win,win,0.6636579242573799,1.0326071306849691
loss,win,0.8631431425920877,-0.9465208060903265
